Year,Player ID,Player Name,Total Prize Money (Year),Total Prize Money (Overall),% of Total
2000,STALIN,- -,"$5,000.00 ","$5,000.00 ",100.00%
2000,Succubus,Cary Szeto,"$5,000.00 ","$5,000.00 ",100.00%
2000,Polosatiy,Roman Tarasenko,"$4,505.33 ","$4,752.70 ",94.80%
2000,Trinidy,David Andreasson,"$4,400.00 ","$4,400.00 ",100.00%
2000,dnx3,Joël Moffatt,"$4,300.00 ","$4,300.00 ",100.00%
2000,Dy-Syng,Joseph Kim,"$4,300.00 ","$4,300.00 ",100.00%
2000,Bassy,"Chang, Suk Joon","$4,000.00 ","$5,435.15 ",73.60%
2000,Cho Baek Kyu,"Cho, Baek Kyu","$4,000.00 ","$4,000.00 ",100.00%
2000,Kaiser_Willhelm,Jakob Lallerstedt,"$4,000.00 ","$4,000.00 ",100.00%
2000,XS_Fai,Tuen Fai,"$3,846.00 ","$3,846.00 ",100.00%
2000,DBD_Jinx,- -,"$3,500.00 ","$3,500.00 ",100.00%
2000,Elan,"Park, Hyung Jae","$3,200.00 ","$3,685.30 ",86.83%
2000,BlackGrail,- -,"$3,000.00 ","$3,000.00 ",100.00%
2000,insano,Dien Kam Chin,"$3,000.00 ","$3,000.00 ",100.00%
2000,이지은,"Lee, Ji Eun","$2,696.62 ","$2,696.62 ",100.00%
2000,HimT,Lee Him,"$2,564.00 ","$2,564.00 ",100.00%
2000,Crexis,- -,"$2,550.00 ","$3,050.00 ",83.61%
2000,Python,Andrew Cha Cha,"$2,500.00 ","$9,734.41 ",25.68%
2000,vise,Dan Larsen,"$2,500.00 ","$2,500.00 ",100.00%
2000,DevilZ_High,Jacob Lonfeldt,"$2,263.23 ","$2,619.89 ",86.39%
2000,Jaksal,"Jun-ki, Kim","$2,208.49 ","$2,208.49 ",100.00%
2000,_Shiri,"Hyun Guk, Shin","$2,208.49 ","$2,208.49 ",100.00%
2000,SHS_Disciple,- -,"$2,000.00 ","$2,000.00 ",100.00%
2000,Trillian,Allison Suttles,"$2,000.00 ","$2,000.00 ",100.00%
2000,Treble,Tomas Hållberg,"$1,876.33 ","$1,876.33 ",100.00%
2000,Pow3r,Andrew Alexandrov,"$1,752.66 ","$3,392.61 ",51.66%
2000,Excalibur,Mark Dowley,"$1,750.00 ","$1,750.00 ",100.00%
2000,Tai,Brian Bruggeman,"$1,750.00 ","$1,750.00 ",100.00%
2000,Matador,Terrell Garrett,"$1,700.00 ","$2,300.00 ",73.91%
2000,강민규,"Gang, Ming Yu","$1,498.12 ","$1,498.12 ",100.00%
2000,양경광,"Yang, Kyoung Gwon","$1,498.12 ","$1,498.12 ",100.00%
2000,정완영,"Jeong, Wan Young","$1,498.12 ","$1,498.12 ",100.00%
2000,Kane,Benjamin Reichert,"$1,393.61 ","$1,880.36 ",74.11%
2000,Slinger,Markus Paege,"$1,314.50 ","$3,628.73 ",36.22%
2000,wombat,Mark Larsen,"$1,300.00 ","$55,551.67 ",2.34%
2000,Live4Son,So Hei,"$1,282.00 ","$1,282.00 ",100.00%
2000,Maimin_Matty,Matt Scadding,"$1,250.00 ","$3,250.00 ",38.46%
2000,Potti,Tommy Ingemarsson,"$1,210.32 ","$65,395.86 ",1.85%
2000,Hyb,Johan Carlund,"$1,210.32 ","$20,152.84 ",6.01%
2000,litzer,- -,"$1,210.32 ","$1,210.32 ",100.00%
2000,Sujoy,Sujoy Roy,"$1,160.00 ","$2,337.46 ",49.63%
2000,Lobsta,Robert Campbell,"$1,100.00 ","$1,100.00 ",100.00%
2000,DevilZ_Loko,Magnus Haslebo,"$1,006.61 ","$2,863.27 ",35.16%
2000,Medion,Erik Engström,"$1,000.00 ","$15,266.05 ",6.55%
2000,proZaC,Cyrus Malekani,"$1,000.00 ","$6,162.90 ",16.23%
